ID,Name,Description,Price,Category
1,Laptop,A high-end gaming laptop,1500,Electronics
2,T-Shirt,A cotton t-shirt with a print,20,Clothing
3,Apple,A fresh red apple,1,Food
4,Novel,A mystery novel by a famous author,15,Books
5,Headphones,Wireless noise-canceling headphones,300,Electronics
6,Jeans,Denim jeans with a slim fit,40,Clothing
7,Banana,A ripe yellow banana,0.5,Food
8,Dictionary,An English dictionary with over 2000 pages,25,Books
9,Smartphone,A latest model smartphone with advanced features,800,Electronics
10,Jacket,A waterproof jacket with hood,60,Clothing
11,Tablet,A 10-inch tablet with retina display,400,Electronics
12,Dress,A summer dress with floral print,50,Clothing
13,Orange,A juicy orange,0.8,Food
14,Textbook,A college-level textbook on mathematics,90,Books
15,Monitor,A 24-inch LED monitor,200,Electronics
16,Shoes,A pair of running shoes,70,Clothing
17,Bread,A loaf of whole grain bread,2,Food
18,Cookbook,A cookbook with vegan recipes,30,Books
19,Camera,A digital camera with 4K video recording,500,Electronics
20,Skirt,A knee-length skirt with pleats,35,Clothing
21,Milk,A gallon of organic milk,3,Food
22,Biography,A biography of a famous scientist,18,Books
23,Speaker,A Bluetooth speaker,100,Electronics
24,Hat,A straw hat with a wide brim,25,Clothing
25,Cheese,A block of cheddar cheese,5,Food
26,Fiction,A fiction novel set in a dystopian future,12,Books
27,Mouse,A wireless mouse,30,Electronics
28,Socks,A pack of athletic socks,10,Clothing
29,Yogurt,A cup of Greek yogurt,1.5,Food
30,Poetry,A collection of modern poetry,20,Books
31,TV,A 55-inch 4K smart TV,600,Electronics
32,Sweater,A wool sweater,45,Clothing
33,Chicken,A pound of chicken breasts,7,Food
34,Thriller,A thriller novel,14,Books
35,Keyboard,A mechanical keyboard,80,Electronics
36,Scarf,A silk scarf,20,Clothing
37,Carrot,A bunch of organic carrots,1.2,Food
38,Guide,A travel guidebook,22,Books
39,Router,A dual-band wireless router,120,Electronics
40,Pants,A pair of cargo pants,35,Clothing
41,Rice,A bag of basmati rice,15,Food
42,Anthology,An anthology of short stories,17,Books
43,Charger,A fast charging phone charger,25,Electronics
44,Blouse,A silk blouse,30,Clothing
45,Chocolate,A bar of dark chocolate,2,Food
46,Drama,A drama novel about family dynamics,18,Books
47,Watch,A smartwatch with fitness tracking,200,Electronics
48,Coat,A wool coat,70,Clothing
49,Lettuce,A head of romaine lettuce,1,Food
50,Magazine,A monthly fashion magazine,5,Books
51,Console,A gaming console,400,Electronics
52,Shorts,A pair of athletic shorts,20,Clothing
53,Steak,A pound of ribeye steak,15,Food
54,Comic,A comic book,8,Books
55,Headset,A gaming headset,100,Electronics
56,Belt,A leather belt,25,Clothing
57,Onion,A bag of yellow onions,2,Food
58,Memoir,A memoir by a famous actor,20,Books
59,Drone,A camera drone with HD video,300,Electronics
60,Gloves,A pair of winter gloves,15,Clothing
61,Tomato,A pound of heirloom tomatoes,3,Food
62,History,A history book about ancient Rome,25,Books
63,Printer,A color laser printer,150,Electronics
64,Tie,A silk tie,20,Clothing
65,Fish,A fillet of salmon,12,Food
66,Fantasy,A fantasy novel about dragons,14,Books
67,Flash Drive,A 64GB USB flash drive,15,Electronics
68,Jacket,A denim jacket,40,Clothing
69,Breadsticks,A pack of garlic breadsticks,4,Food
70,Manual,A user manual for a software package,10,Books
71,Power Bank,A portable power bank,35,Electronics
72,Sunglasses,A pair of polarized sunglasses,50,Clothing
73,Beans,A can of black beans,1,Food
74,Play,A script for a stage play,12,Books
75,Tablet Case,A protective case for a tablet,20,Electronics
76,Vest,A fleece vest,30,Clothing
77,Coffee,A bag of ground coffee,10,Food
78,Essay,A collection of personal essays,15,Books
79,TV Stand,A wooden TV stand,120,Electronics
80,Sneakers,A pair of sneakers,60,Clothing
81,Juice,A bottle of orange juice,3,Food
82,Novelty,A novelty item,5,Books
83,Speaker,A home theater speaker system,250,Electronics
84,Sweatsuit,A matching sweatsuit,40,Clothing
85,Pasta,A bag of penne pasta,2,Food
86,Thriller,A thriller novel,14,Books
87,Webcam,A 1080p HD webcam,70,Electronics
88,Pajamas,A pair of cotton pajamas,25,Clothing
89,Chips,A bag of potato chips,3,Food
90,Guide,A guidebook for bird watching,18,Books
91,Home Theater,A home theater system,500,Electronics
92,Blazer,A formal blazer,70,Clothing
93,Muffins,A pack of blueberry muffins,5,Food
94,Cookbook,A cookbook for baking,25,Books
95,Smartphone,A mid-range smartphone,300,Electronics
96,Trousers,A pair of formal trousers,50,Clothing
97,Grapes,A bunch of seedless grapes,4,Food
